announcement_id,sec_code,symbol,sec_name,report_kind,report_period,publication_date,first_publication_date,title,manager,product_names,source_url,search_terms,source_snippet
1207665052,002668,002668.SZ,ST奥马,FY,2019-12-31,2020-04-28,2020-04-28,奥马电器：2019年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2020-04-29/1207665052.PDF,宁波幻方,"2,466,700 刘诗彬 1,875,900 人民币普通股 1,875,900 浙江九章资产管理有限公司－九章幻方青溪"
1207873293,300089,300089.SZ,文化长城,FY,2019-12-31,2020-05-28,2020-05-28,文化长城：2019年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2020-05-29/1207873293.PDF,宁波幻方,"3,712,500 吴网腰 3,000,000 人民币普通股 3,000,000 浙江九章资产管理有限公司－九章幻方皓月"
1207416549,600768,600768.SS,宁波富邦,FY,2019-12-31,2020-03-27,2020-03-27,宁波富邦：2019年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2020-03-28/1207416549.PDF,宁波幻方,"王坚宏 1,100 1,059,118 0.79 0 未知 境内自然人 浙江九章资产管理有限公司－九章幻方青溪"
1207448598,603013,603013.SS,亚普股份,FY,2019-12-31,2020-04-01,2020-04-01,亚普股份：2019年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2020-04-02/1207448598.PDF,宁波幻方,"317,900 高维庆 234,473 人民币普通股 234,473 浙江九章资产管理有限公司－九章幻方紫云"
1208637880,300293,300293.SZ,蓝英装备,Q3,2020-09-30,2020-10-28,2020-10-28,蓝英装备：2020年第三季度报告全文,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2020-10-29/1208637880.PDF,宁波幻方,"沈阳黑石投资有限公司 境内非国有法人 1.28% 3,442,500 浙江九章资产管理有限公司－九章幻方中证"
1209492736,000521,000521.SZ,长虹美菱,FY,2020-12-31,2021-03-30,2021-03-30,长虹美菱：2020年年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-03-31/1209492736.PDF,宁波幻方,"境内一般法人 0.53% 5,552,151 +5,552,151 0 5,552,151 - - 宁波幻方量化投资管理合伙企业"
1209829279,000672,000672.SZ,上峰水泥,FY,2020-12-31,2021-04-27,2021-04-27,上峰水泥：2020年年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-04-28/1209829279.PDF,九章幻方|宁波幻方,Golden Pine Asset Management Limited、浙江善渊投资管理有限公司、宁波幻方量化投资管理合伙企业
1209853557,002647,002647.SZ,仁东控股,FY,2020-12-31,2021-04-28,2021-04-28,仁东控股：2020年年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-04-29/1209853557.PDF,宁波幻方,"3,378,424 人民币普通股 3,378,424 仁东控股股份有限公司 2020 年年度报告全文 36 宁波幻方量化投资管理合伙企业"
1209712984,300084,300084.SZ,海默科技,FY,2020-12-31,2021-04-16,2021-04-16,海默科技：2020年年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-04-17/1209712984.PDF,宁波幻方,"1,892,690 人民币普通股 1,892,690 张宽宽 1,689,752 人民币普通股 1,689,752 宁波幻方量化投资管理合伙企业"
1210500562,300106,300106.SZ,西部牧业,FY,2020-12-31,2021-07-16,2021-07-16,西部牧业：2020年年度报告（更新后）,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-07-16/1210500562.PDF,宁波幻方,"0 733,340 华泰证券股份有限公司 国有法人 0.34% 722,360 0 722,360 宁波幻方量化投资管理合伙企业"
